cell_line,comparison,gene_set_library,pathway,enrichment_score,normalized_enrichment_score,nominal_p_value,false_discovery_rate,family_wise_error_rate,gene_set_size,matched_genes,leading_edge_genes,direction
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Hypoxia,0.5777870493789432,1.230411422701439,0.05434782608695652,0.39674956569443176,0.638,61/200,4.50%,GAPDH;ENO1;FOS;BCL2;SLC25A1;IRS2;PFKP;JUN;GPI;PGK1;WSB1;DUSP1;FBP1;PDGFB;SLC2A1;LDHA;CCN2;AK4;ACKR3;ATF3;ZFP36;SULT2B1;GALK1;NEDD4L;MT2A;STC1;ALDOC;ENO2;CA12;VEGFA;SLC6A6;HEXA;PDK3;EFNA3;STC2;CCN1;MAFF;GAA;INHA;FAM162A;ALDOA;SLC37A4;SCARB1;P4HA1;PFKL;CCN5;LARGE1;ISG20;KDELR3;PFKFB3;SLC2A3;ERO1A;PDK1;ADM;RRAGD;BTG1;COL5A1;PAM;GYS1;IER3;BNIP3L,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Interferon Alpha Response,0.5787745973105046,1.1578048831767422,0.14015151515151514,0.41035018743714,0.796,33/97,6.49%,BST2;LGALS3BP;PSMA3;CD47;EIF2AK2;PSME2;IFITM3;MOV10;B2M;UBE2L6;IFI44L;HLA-C;PSME1;TRIM25;IRF1;NMI;ISG20;HERC6;IFI35;IFI44;PNPT1;HELZ2;IFITM2;PLSCR1;OASL;IFI27;LAP3;IL4R;PARP14;DHX58;TENT5A;TRIM14;OAS1,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Apical Junction,0.5278927552516219,1.1155767913498085,0.15568862275449102,0.4211392520800951,0.879,60/200,5.83%,ACTG1;INSIG1;EVL;CTNNA1;MYL12B;CERCAM;ITGA2;CLDN7;MAP3K20;CALB2;NF2;JUP;ACTN1;PLCG1;GNAI2;NF1;PFN1;ADAM15;RRAS;IRS1;CAP1;CD99;ACTB;NECTIN2;NLGN2;CLDN4;THBS3;AMIGO2;ACTN4;SRC;VAV2;GAMT;RHOF;MYH10;PTK2;FSCN1;TNFRSF11B;MVD;ITGB4;TSPAN4;ZYX;CD276;WASL;RSU1;SORBS3;KCNH2;SPEG;PKD1;SLC30A3;RASA1;LAMA3;CDK8;ICAM5;AMH;BAIAP2;ARPC2;TMEM8B;ADAM9;CNN2;MPZL2,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,E2F Targets,0.5295057743447081,1.1421649992445737,0.13966480446927373,0.4230070925691297,0.823,79/200,4.65%,PA2G4;HNRNPD;UNG;NAP1L1;SNRPB;HMGA1;PNN;NOP56;ANP32E;IPO7;TUBB;LUC7L3;HELLS;SRSF1;RRM2;NOLC1;PAICS;POLD2;XRCC6;CHEK2;STMN1;MYC;CSE1L;CTPS1;RANBP1;RAN;PSIP1;CKS2;DUT;SMC4;KPNA2;SRSF2;NASP;NUDT21;MAD2L1;MCM6;MCM3;TFRC;UBE2T;SYNCRIP;PRDX4;PTTG1;RBBP7;POLE;ORC2;TP53;SSRP1;DSCC1;LMNB1;MRE11;POLD1;SPC25;ASF1B;NME1;DDX39A;WDR90;DEK;MCM2;RFC3;AK2;TRIP13;MMS22L;WEE1;PCNA;AURKB;CBX5;XPO1;LIG1;EIF2S1;TIMELESS;JPT1;GINS1;RAD51AP1;EXOSC8;TK1;SMC6;ORC6;PRKDC;CDC25B,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Glycolysis,0.5497612341751545,1.1642246368781857,0.10843373493975904,0.42563469568132634,0.782,64/200,4.57%,ENO1;PKM;IRS2;PFKP;PPIA;PGK1;FKBP4;G6PD;LDHA;TXN;TALDO1;ARPP19;PGAM1;AK4;SDC1;GALE;SDHC;STMN1;SOD1;GALK1;MDH1;NASP;STC1;IL13RA1;DSC2;SLC35A3;ENO2;VEGFA;POLR3K;SLC16A3;PDK3;EFNA3;STC2;GUSB;RARS1;LHPP;HOMER1;B4GALT2;FAM162A;ALDOA;SLC37A4;PYGL;IDUA;P4HA1;PKP2;QSOX1;ISG20;KDELR3;ME2;ERO1A;PSMC4;AGL;AK3;RRAGD;COL5A1;PHKA2;PAM;KIF2A;GYS1;GOT2;FUT8;IER3;GMPPB;PGLS,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Hedgehog Signaling,0.6682823177926998,1.121274849189017,0.3072100313479624,0.43016823626222916,0.867,14/36,5.96%,NRCAM;NF1;VEGFA;CELSR1;L1CAM;ETS2;TLE3;NRP1;OPHN1;RASA1;UNC5C;PML;VLDLR;CDK5R1,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Interferon Gamma Response,0.5302682716023225,1.1300729718113545,0.11864406779661017,0.43314742007253665,0.848,60/200,6.50%,BST2;ISOC1;PFKP;LGALS3BP;PSMA3;EIF2AK2;TAPBP;ST8SIA4;SOCS3;NCOA3;PSME2;IFITM3;HLA-B;B2M;UBE2L6;SECTM1;JAK2;STAT1;MT2A;IFI44L;RNF213;PSMA2;HIF1A;PSME1;PSMB2;LYSMD2;TRIM25;IRF1;NMI;ISG20;HERC6;GCH1;IFI35;IFI44;PNPT1;ZNFX1;HELZ2;IFITM2;BTG1;OAS3;PLSCR1;OASL;IFI27;PML;LAP3;IL4R;SPPL2A;PARP14;PIM1;TNFAIP2;AUTS2;NUP93;DHX58;HLA-DRB1;IRF5;DDX58;ICAM1;SOCS1;TRIM14;VAMP5,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Coagulation,0.5415820223700494,1.0902930848230572,0.2561576354679803,0.47010656995113426,0.916,33/138,6.62%,CLU;TIMP3;PDGFB;CSRP1;ITGA2;CD9;LTA4H;CTSB;TIMP1;F12;CTSH;USP11;HPN;MSRB2;MAFF;ARF4;APOA1;LRP1;MMP15;THBS1;THBD;APOC1;LAMP2;GSN;ADAM9;FURIN;HTRA1;DUSP6;CTSV;F3;PREP;FN1;MMP11,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Fatty Acid Metabolism,0.5199488305717169,1.067651555746687,0.28272251308900526,0.5098290207552345,0.94,58/158,6.09%,ELOVL5;S100A10;PRDX6;HSP90AA1;FASN;IDI1;LDHA;DHCR24;PDHA1;GSTZ1;ACAT2;ACADVL;SMS;SDHC;UBE2L6;SUCLG1;MDH1;OSTC;ADIPOR2;ENO2;LGALS1;BPHL;FH;HMGCS1;IDH3B;PSME1;ACADM;REEP6;ECHS1;ACAA2;ALDOA;RDH11;GCDH;ADSL;IDH3G;MGLL;ACSL1;ACSS1;GPD2;SLC22A5;CCDC58;ACO2;HSPH1;HSD17B10;PPARA;DLST;SUCLG2;HSD17B7;ACOT8;HCCS;CBR3;LTC4S;RAP1GDS1;ACSL4;ALDH9A1;ACAA1;ECI2;METAP1,positive
MCF7,REPOP_vs_CTR,MSigDB_Hallmark_2020,Inflammatory Response,0.48594599393187854,1.0456490181400917,0.2737430167597765,0.524928486526731,0.957,32/200,5.27%,BST2;LDLR;P2RX4;SLC7A2;EIF2AK2;TAPBP;CD55;ATP2A2;TIMP1;MYC;HPN;HIF1A;P2RX7;SLC31A1;GABBR1;IRF1;MXD1;LYN;NMI;GCH1;AHR;IL1R1;EMP3;P2RY2;ADM;RASGRP1;PTPRE;DCBLD2;SEMA4D;IL4R;OSMR;ACVR1B,positive
