cell_line,comparison,gene_set_library,pathway,enrichment_score,normalized_enrichment_score,nominal_p_value,false_discovery_rate,family_wise_error_rate,gene_set_size,matched_genes,leading_edge_genes,direction
MCF7,REPOP_vs_TIS,Reactome_2022,mRNA Splicing R-HSA-72172,0.8338268670561655,1.5726944756215355,0.0014084507042253522,0.005727332999284494,0.011,139/189,6.56%,HNRNPA1;SNRPB;HNRNPA2B1;HNRNPUL1;SNRPD2;SRSF7;FUS;SRSF2;SRSF3;PRPF8;SNRNP200;HNRNPR;PCBP2;LSM4;RBM8A;SNRPA;HNRNPM;SNRPA1;SNRPG;TRA2B;HNRNPD;LSM2;PRPF4;DDX46;HNRNPA0;SNRPF;HNRNPH1;HNRNPC;RBMX;PTBP1;HNRNPF;LSM5;PRPF3;HNRNPA3;USP39;CASC3;HNRNPU;CPSF2;LSM7;PHF5A;DDX23;SNRPE;SRSF1;NUDT21;PRPF38A;SF3A3;SRRM1;CDC5L;SNRNP25;PUF60;SRSF10;U2SURP;EFTUD2;SF3B3;PPIL1;YBX1;SNRNP48;CPSF3;POLR2H;POLR2E;SRSF4;POLR2C;UPF3B;MAGOH;SRSF9;SNRPB2;GTF2F1;SRRM2;SNW1;CSTF1;SF3B4;DHX16;PPIL3;CWC15;LSM6;CPSF6;PDCD7;POLR2I;PPIH;RBM42;PABPN1;PAPOLA;DNAJC8;ALYREF;ELAVL1;SF3A1;SNRNP40;RBM22;SNRPC;EIF4A3;AQR;LSM3;SRSF6;MAGOHB;WBP11;LSM8;WBP4;TXNL4A;SF3B2;SF3A2;CTNNBL1;SART1;CSTF2T;PQBP1;PPIE;SF3B1;CWC22;CWC27;POLR2K;SNRNP27;CWC25;PRPF40A;ZCRB1;CSTF2;CRNKL1;HNRNPL;PPWD1;ZMAT5;RBM17;MTREX;XAB2;SMNDC1;SNRPD3;POLR2G;GCFC2;CPSF4;SYMPK;TFIP11;CHERP;GPKOW;POLR2A;CDC40;SF1;CSTF3;SRSF11;PLRG1;SNRNP35;PRPF31;POLR2D,positive
MCF7,REPOP_vs_TIS,Reactome_2022,Mitochondrial Translation Termination R-HSA-5419276,0.8873641256540195,1.508248317344007,0.0,0.032709435129247,0.138,67/82,6.00%,MRPL11;MRPS18B;MRPS2;GADD45GIP1;OXA1L;MRPL42;MRPL35;MRPL51;MRPL34;CHCHD1;MRPL16;MRPL23;MRPL4;ERAL1;MRPL37;MRPS26;MRPL12;MRPL40;MRPS11;MRPL10;MRPS7;MRPL30;MRPL58;MRPS27;MRPS15;MRPL24;MRPS31;MRPS30;MRPL48;MRPL13;MRPS33;MRPS5;MRPL9;MRRF;MRPL57;MRPS10;MRPL43;MRPL17;PTCD3;MRPL52;MRPS14;MRPL14;MRPS18C;MRPL41;MRPL33;MRPL39;MRPL1;MRPL55;MRPL45;MRPS34;MRPS16;MRPS17;MRPS9;AURKAIP1;MRPS36;MRPL46;MRPL54;MRPL19;MRPL18;MRPL44;MRPL3;MRPL50;MRPS35;MRPL15;MRPS18A;MRPL53;MRPL38,positive
MCF7,REPOP_vs_TIS,Reactome_2022,Mitochondrial Translation Elongation R-HSA-5389840,0.8839461029771536,1.5026137552918886,0.0,0.03425490593857773,0.161,67/82,6.00%,MRPL11;MRPS18B;MRPS2;GADD45GIP1;OXA1L;MRPL42;MRPL35;MRPL51;MRPL34;CHCHD1;MRPL16;MRPL23;MRPL4;ERAL1;TUFM;MRPL37;MRPS26;MRPL12;MRPL40;MRPS11;MRPL10;MRPS7;MRPL30;MRPL58;MRPS27;MRPS15;MRPL24;MRPS31;MRPS30;MRPL48;MRPL13;MRPS33;MRPS5;MRPL9;MRPL57;MRPS10;MRPL43;MRPL17;PTCD3;MRPL52;MRPS14;MRPL14;MRPS18C;MRPL41;MRPL33;MRPL39;MRPL1;MRPL55;MRPL45;MRPS34;MRPS16;MRPS17;MRPS9;AURKAIP1;MRPS36;MRPL46;MRPL54;MRPL19;MRPL18;MRPL44;MRPL3;MRPL50;MRPS35;MRPL15;MRPS18A;MRPL53;MRPL38,positive
MCF7,REPOP_vs_TIS,Reactome_2022,Mitochondrial Translation Initiation R-HSA-5368286,0.884936861038868,1.5087600862755217,0.0,0.038793135515153634,0.136,67/82,6.00%,MRPL11;MRPS18B;MRPS2;GADD45GIP1;OXA1L;MRPL42;MRPL35;MRPL51;MRPL34;CHCHD1;MRPL16;MRPL23;MRPL4;ERAL1;MRPL37;MRPS26;MRPL12;MRPL40;MRPS11;MRPL10;MRPS7;MRPL30;MRPL58;MRPS27;MRPS15;MRPL24;MRPS31;MRPS30;MRPL48;MRPL13;MRPS33;MRPS5;MRPL9;MRPL57;MTIF2;MRPS10;MRPL43;MRPL17;PTCD3;MRPL52;MRPS14;MRPL14;MRPS18C;MRPL41;MRPL33;MRPL39;MRPL1;MRPL55;MRPL45;MRPS34;MRPS16;MRPS17;MRPS9;AURKAIP1;MRPS36;MRPL46;MRPL54;MRPL19;MRPL18;MRPL44;MRPL3;MRPL50;MRPS35;MRPL15;MRPS18A;MRPL53;MRPL38,positive
MCF7,REPOP_vs_TIS,Reactome_2022,Mitochondrial Translation R-HSA-5368287,0.8811707139438729,1.5141160075114122,0.0,0.040282242094967606,0.115,69/88,6.00%,MRPL11;MRPS18B;MRPS2;GADD45GIP1;OXA1L;MRPL42;MRPL35;MRPL51;MRPL34;CHCHD1;MRPL16;MRPL23;MRPL4;ERAL1;TUFM;MRPL37;MRPS26;MRPL12;MRPL40;MRPS11;MRPL10;MRPS7;MRPL30;MRPL58;MRPS27;MRPS15;MRPL24;MRPS31;MRPS30;MRPL48;MRPL13;MRPS33;MRPS5;MRPL9;MRRF;MRPL57;MTIF2;MRPS10;MRPL43;MRPL17;PTCD3;MRPL52;MRPS14;MRPL14;MRPS18C;MRPL41;MRPL33;MRPL39;MRPL1;MRPL55;MRPL45;MRPS34;MRPS16;MRPS17;MRPS9;AURKAIP1;MRPS36;MRPL46;MRPL54;MRPL19;MRPL18;MRPL44;MRPL3;MRPL50;MRPS35;MRPL15;MRPS18A;MRPL53;MRPL38,positive
MCF7,TIS_vs_CTR,MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.7954398322400574,1.6989500852583126,0.0,0.0,0.0,83/200,5.85%,FLNA;TNFRSF12A;PMEPA1;IGFBP4;CADM1;THBS1;TPM1;CD59;TIMP3;MGP;ITGB1;RHOB;LAMC1;TNFRSF11B;FSTL3;TIMP1;SDC1;ITGA2;JUN;PLOD3;COL5A1;TGFB1;GADD45A;DKK1;ITGB5;ACTA2;MATN2;PMP22;ITGAV;QSOX1;CXCL12;PFN2;GEM;SLC6A8;MATN3;NT5E;VEGFA;TPM2;DST;BASP1;INHBA;FAS;SERPINH1;CCN2;LOXL2;FZD8;CAP2;FERMT2;WIPF1;BMP1;HTRA1;AREG;FN1;LAMA3;LRRC15;GPC1;ENO2;EDIL3;IGFBP3;SAT1;TFPI2;CD44;VIM;TGFBI;COL12A1;COL6A2;MSX1;DAB2;OXTR;LRP1;PVR;SNAI2;FUCA1;IL32;SERPINE1;COL1A1;SERPINE2;COL16A1;LAMC2;LOXL1;APLP1;SPOCK1;P3H1,positive
MCF7,TIS_vs_CTR,MSigDB_Hallmark_2020,E2F Targets,-0.826490745360803,-1.5097840284204505,0.0,0.001846856698500644,0.004,158/200,7.74%,H2AZ1;POP7;MKI67;RAD51C;HMGB2;CKS1B;TOP2A;CTCF;TMPO;SMC4;MTHFD2;USP1;RAD21;BRCA2;KIF22;ATAD2;CBX5;TACC3;DEK;BIRC5;UBE2S;LMNB1;EZH2;RACGAP1;MCM7;NCAPD2;CDK1;AURKB;SMC3;DNMT1;MYBL2;CDKN3;DCLRE1B;TIMELESS;BRCA1;UBE2T;STMN1;H2AX;SSRP1;PLK1;ANP32E;AURKA;CENPE;CDKN1B;RNASEH2A;PTTG1;RPA3;NUP205;CCP110;TK1;ILF3;DLGAP5;HMGB3;HMMR;POLD3;NBN;KIF4A;TCF19;MELK;TRA2B;SPAG5;MCM4;EXOSC8;PAN2;PPP1R8;CDC20;MCM3;RFC2;DCTPP1;SRSF2;GINS1;DEPDC1;KIF2C;MCM2;MCM5;NUP107;CIT;ESPL1;PSIP1;CCNB2;CHEK1;ASF1B;PCNA;MAD2L1;CDCA3;PHF5A;MXD3;CDC25B;SHMT1;CENPM;PPM1D;SNRPB;BARD1;ORC6;CDK4;NASP;STAG1;SPC24;CDCA8;CNOT9;RRM2;RAD1;KIF18B;BUB1B;PSMC3IP;MSH2;UBR7;NAA38;CDKN2C;RPA1;E2F8;PLK4;RFC3;SLBP;PDS5B;LBR;SMC1A;LIG1;PRDX4;RPA2;PRKDC;PMS2;DDX39A;RAD51AP1;MCM6;SMC6;HELLS;SUV39H1;DIAPH3;CKS2;TBRG4;UNG;RANBP1;DUT;MRE11;RFC1;ASF1A;RBBP7;TIPIN;ING3;GINS4;SPC25;TUBG1;GINS3;TRIP13;CDC25A;TP53;POLE;CCNE1;HMGA1;MLH1;DCK;CHEK2;LYAR;ZW10;POLD1;PRIM2;NUDT21,negative
MCF7,TIS_vs_CTR,MSigDB_Hallmark_2020,G2-M Checkpoint,-0.8155095888073034,-1.479730772397355,0.0,0.0034628563096887077,0.015,137/200,6.18%,SLC7A5;HMGN2;H2AZ1;MKI67;H2AZ2;SMC2;CKS1B;PURA;TOP2A;CTCF;TMPO;SMC4;DBF4;CENPF;TPX2;RAD21;BRCA2;KIF22;SFPQ;HOXC10;TACC3;BIRC5;SLC7A1;UBE2S;LMNB1;EZH2;RACGAP1;FOXN3;PRC1;CDK1;AURKB;MYBL2;KIF11;CDKN3;CCNF;NDC80;STMN1;H2AX;CBX1;PLK1;NCL;AURKA;NUMA1;CENPE;KIF5B;CDKN1B;PTTG1;TTK;ILF3;INCENP;HMGB3;HMMR;UBE2C;KNL1;TROAP;EWSR1;DTYMK;NSD2;KIF23;STIL;KIF4A;TRA2B;CCNA2;CDC20;MCM3;KIF20B;SRSF2;KIF2C;MCM2;MCM5;NUP50;ESPL1;LIG3;NEK2;CCNB2;CHEK1;BUB1;PBK;KIF15;FBXO5;MAD2L1;EXO1;CDC25B;PRPF4B;CHAF1A;RBM14;HNRNPU;BARD1;CDC7;POLQ;ORC6;CDK4;ODF2;NASP;STAG1;ODC1;ABL1;SAP30;CDC27;UCK2;CDKN2C;CENPA;PLK4;CCNT1;PDS5B;FANCC;LBR;CDC6;SMC1A;TLE3;CDC45;MNAT1;ATRX;CASP8AP2;YTHDC1;DR1;RPA2;GINS2;DDX39A;E2F1;MCM6;SUV39H1;CKS2;RBL1;SRSF10;NUSAP1;NOTCH2;PRMT5;KMT5A;SNRPD1;HIRA;RAD54L;DKC1;RPS6KA5;TRAIP;MT2A;CDC25A,negative
MCF7,TIS_vs_CTR,MSigDB_Hallmark_2020,Estrogen Response Early,0.7527518792670269,1.6259506687300527,0.0,0.007006441405808566,0.004,133/200,5.02%,PRSS23;KRT19;KRT18;CCND1;HSPB8;KRT8;RAB31;TFF1;SH3BP5;UGCG;SLC7A2;STC2;IGFBP4;BAG1;ABAT;BHLHE40;RHOD;CA12;RET;RHOBTB3;PAPSS2;KCNK15;KCNK5;OPN3;WWC1;CELSR2;SLC26A2;CCN5;SEMA3B;KRT15;PODXL;MYOF;GREB1;FKBP4;FAM102A;RASGRP1;OLFM1;THSD4;GFRA1;KLF10;NRIP1;SVIL;CLDN7;ZNF185;ELF3;AQP3;SLC9A3R1;MAST4;PGR;CELSR1;IGF1R;FLNB;DYNLT3;PLAAT3;TPD52L1;CXCL12;TIPARP;RARA;KLF4;BCL2;ELF1;CALB2;CLIC3;TMEM164;ADCY1;KDM4B;INPP5F;SYBU;AMFR;FOXC1;CYP26B1;MREG;RETREG1;JAK2;PDZK1;MLPH;SCARB1;CBFA2T3;FARP1;HR;DEPTOR;TFF3;FHL2;EGR3;NADSYN1;ELOVL5;WFS1;INHBB;AREG;PTGES;REEP1;RPS6KA2;TIAM1;MAPT;MICB;MYBBP1A;SYT12;ANXA9;SYNGR1;IL6ST;OLFML3;SLC39A6;TFAP2C;PMAIP1;KRT13;KAZN;ABCA3;CISH;SLC22A5;CALCR;RAPGEFL1;ABHD2;IL17RB;CD44;SLC2A1;SNX24;P2RY2;B4GALT1;TUBB2B;GAB2;NBL1;SULT2B1;SLC24A3;PDLIM3;SEC14L2;LAD1;NCOR2;MYC;NAV2;ARL3;FRK;MED13L;DHCR7,positive
MCF7,TIS_vs_CTR,MSigDB_Hallmark_2020,Coagulation,0.7545065690908671,1.560049661867022,0.0,0.029193505857535693,0.025,39/138,5.23%,CLU;PRSS23;GSN;THBS1;TIMP3;CSRP1;TIMP1;ITGA2;WDR1;CD9;ANXA1;PDGFB;CRIP2;KLF7;LTA4H;CTSH;GNG12;LAMP2;ADAM9;ARF4;HPN;MAFF;CAPN2;BMP1;HTRA1;FN1;CTSB;S100A13;THBD;SH2B2;CPQ;TFPI2;RAC1;LRP1;USP11;FURIN;SERPINE1;SERPINA1;MMP15,positive
