cell_line,trajectory_bin,cells,mean_pseudotime,tis_fraction,repop_fraction,ctr_fraction,mean__pathway__e2f_targets,median__pathway__e2f_targets,mean__pathway__g2_m_checkpoint,median__pathway__g2_m_checkpoint,mean__pathway__myc_targets_v1,median__pathway__myc_targets_v1,mean__pathway__processing_of_capped_intron_containing_pre_mrna_r_hsa_72203,median__pathway__processing_of_capped_intron_containing_pre_mrna_r_hsa_72203,mean__pathway__mrna_splicing_major_pathway_r_hsa_72163,median__pathway__mrna_splicing_major_pathway_r_hsa_72163,mean__pathway__mrna_splicing_r_hsa_72172,median__pathway__mrna_splicing_r_hsa_72172,mean__pathway__mitochondrial_translation_termination_r_hsa_5419276,median__pathway__mitochondrial_translation_termination_r_hsa_5419276,mean__pathway__mitochondrial_translation_elongation_r_hsa_5389840,median__pathway__mitochondrial_translation_elongation_r_hsa_5389840,mean__pathway__mitochondrial_translation_initiation_r_hsa_5368286,median__pathway__mitochondrial_translation_initiation_r_hsa_5368286,mean__pathway__mitochondrial_translation_r_hsa_5368287,median__pathway__mitochondrial_translation_r_hsa_5368287,mean__regulator__E2F1,median__regulator__E2F1,mean__regulator__FOS,median__regulator__FOS,mean__regulator__TP53,median__regulator__TP53,mean__regulator__JUN,median__regulator__JUN,mean__regulator__STAT3,median__regulator__STAT3,mean__regulator__MYC,median__regulator__MYC,mean__repopulation_associated_potential,median__repopulation_associated_potential,mean__rap_score,median__rap_score
MCF7,1,8725,0.012503181244979301,0.9923209169054441,0.00504297994269341,0.0026361031518624643,-0.28091000759253626,-0.3674011430847139,-0.2706878494943922,-0.3450206966278116,-0.035378087718869064,-0.046898226858448,-0.09872148240524821,-0.1076686935733108,-0.10412197874830147,-0.1100158191748017,-0.10472373620421964,-0.1103714529203538,-0.1371516988361035,-0.1344696560606603,-0.13392902542508703,-0.13053387306591,-0.1345190801538249,-0.1320489464289628,-0.13088275181243814,-0.1272506872951259,-0.32196621878095105,-0.5292936710495966,0.7602966449399452,0.8400462111797237,0.1684810589427478,0.2447398740527169,0.6067269822498482,0.684593390692899,-0.09176607068831336,-0.018315623032869,0.8915588608016352,1.004305479948853,-1.1267136390103374,-1.1369542818469722,-1.1267136390103374,-1.1369542818469722
MCF7,2,715,0.1437664704002961,0.9272727272727272,0.032167832167832165,0.04055944055944056,-0.16357453886395465,-0.3231608641396906,-0.15466909451039554,-0.3118415365955795,0.055995832442088334,0.0277278912999781,-0.040138703628075964,-0.0590071169848625,-0.044319848945517895,-0.0609917224633523,-0.0451713677158115,-0.0635989159225692,-0.05023343788656973,-0.0344686940481953,-0.04719035832713533,-0.0331512631321182,-0.047336779298380614,-0.0342574076463464,-0.04418056710634415,-0.0300252072885753,-0.2732230094354806,-0.5292936710495966,0.6635328534760981,0.7722131468356269,0.18514700307714407,0.1965417571479412,0.4193223610753521,0.5027914776079639,-0.3398867465163621,-0.2295099641684486,0.8769208170382985,0.9943257157393968,-0.41503941538261535,-0.6215116071807918,-0.41503941538261535,-0.6215116071807918
MCF7,3,432,0.2450694192082272,0.8611111111111112,0.046296296296296294,0.09259259259259259,-0.15499228671282705,-0.30799631752645884,-0.15064167411346455,-0.28683875682605553,0.0657691018257591,0.0658957106592436,-0.031844754407972534,-0.0437213752059538,-0.03442697616299243,-0.04622027656432525,-0.0352508977033857,-0.04266151380820955,-0.03386234164490302,-0.02192213215113015,-0.029014878652033168,-0.020258105885985797,-0.03023632641998176,-0.01539540307121895,-0.0268715031775318,-0.01598520291593805,-0.21103602975210808,-0.5292936710495966,0.7695395702658407,0.8924955725879649,0.1462948240326741,0.1496991618948591,0.44411842879330976,0.5655965798148133,-0.29317502693324476,-0.17291869213317312,0.9005150239840619,1.0492448620761836,-0.34581917373046156,-0.525745860162085,-0.34581917373046156,-0.525745860162085
MCF7,4,324,0.35028468443911615,0.7283950617283951,0.10802469135802469,0.16358024691358025,-0.11489665470341874,-0.2656165926634822,-0.10196851429943182,-0.22830307066625236,0.06730021322482704,0.060309861866346196,-0.016587137228534336,-0.0243169721554969,-0.016939595345179515,-0.01806635683606735,-0.01923772126356228,-0.021377612395081402,-0.015923910473766196,-0.022784849721441403,-0.012913392573438244,-0.01932239573414545,-0.01345318972101262,-0.01178268085408375,-0.011135875787853425,-0.00868361894818655,-0.19214167161158083,-0.5292936710495966,0.7517186483720107,0.7707017532918371,0.012491676416889298,-0.8127414529371765,0.46803225888213745,0.5139523270500364,-0.38189355611563075,-0.2675774930356165,0.8284908863566912,0.8762727173737199,-0.217920365551497,-0.3967188941764453,-0.217920365551497,-0.39671889417644524
MCF7,5,356,0.44942039689689606,0.6348314606741573,0.12921348314606743,0.23595505617977527,-0.061680496604311595,-0.18199089951998165,-0.0497786332554477,-0.16975002685809065,0.07942110327025828,0.0684002338864553,0.0068566694371563165,0.01896972972293465,0.0028688162240229163,0.0223106941224149,0.002428804673683524,0.0187089029246422,0.010005627993597466,0.00860334467212435,0.015637045216615013,0.011965887693715649,0.014066311319740323,0.016027458868981652,0.018011445990765318,0.0163947979630375,-0.13242867518360069,-0.5292936710495966,0.7651164330951252,0.8474180772613771,0.1867822558043734,0.1820108875138049,0.3920877922347924,0.4569279613810445,-0.3959614414953234,-0.2823382326598371,0.904646848534493,1.0334333611829822,-0.1051346167131146,-0.3048463523804016,-0.1051346167131146,-0.3048463523804016
MCF7,6,349,0.5485334617581369,0.46131805157593125,0.19197707736389685,0.3467048710601719,-0.0426042757895547,-0.1494395121517426,-0.02477253209494847,-0.1145420311499072,0.06997577921947487,0.0675617205430667,0.026084368006226058,0.0294209129282093,0.019540904409753087,0.0240192835576618,0.018928105332633925,0.0241393201905477,0.0361807370111403,0.0331754503142974,0.042076085533836904,0.0459350549608935,0.039023382125850575,0.0402319471024388,0.043427517432779214,0.0392717046670828,-0.10611414789296061,-0.5292936710495966,0.848959553689098,0.922916819809819,0.10689916472200472,0.1087266089459762,0.4074361042178035,0.4890423915900588,-0.5166127186314887,-0.4167130359440145,0.9104578780427708,0.96933746143518,-0.03595840920493468,-0.16716434736613847,-0.03595840920493468,-0.1671643473661384
MCF7,7,400,0.6530428350658601,0.435,0.1975,0.3675,-0.038350928650422354,-0.1318527837918672,-0.009336788005693562,-0.08849248651362575,0.07018416499160499,0.05986626425046755,0.030376737360735876,0.0215986699101284,0.02701174390382051,0.0268833670609714,0.026120790745310395,0.025144043490656402,0.038497336231218454,0.04145562272505485,0.04322661928953365,0.045004982560373705,0.042216967225348796,0.048953016244091346,0.04594181278088536,0.050361343610773796,-0.1352341173108498,-0.5292936710495966,0.8406285731150763,0.872003316301706,0.21383704037316079,0.23289697227850395,0.4646836423067336,0.5327956226398034,-0.49781783097273324,-0.40019960846716235,0.8730628896575966,1.0354902865543831,0.03819558795866288,-0.08459673110505156,0.03819558795866287,-0.08459673110505156
MCF7,8,583,0.7542454499826685,0.27101200686106347,0.24356775300171526,0.4854202401372213,-0.025582740587998223,-0.0817702890595969,0.010360342555168366,-0.0387642782278836,0.07518566294018672,0.077544935772671,0.055666283952994354,0.0626060635661057,0.052481759992014064,0.0590731423915538,0.05153179251201806,0.0554870148198461,0.08368727654419077,0.0863511585942057,0.09005789246832967,0.0918373041530366,0.08817612713592941,0.0895345221155661,0.09208313604793134,0.0938799023400159,-0.15292218871697383,-0.5292936710495966,0.9549897230291268,1.024615388955268,0.27734970256645586,0.3618379936859886,0.4849091656466377,0.5234945283818682,-0.5589498823316289,-0.4324338485421036,0.9512701928672673,1.0136226740896386,0.09842489089066482,-0.007897382333022781,0.09842489089066485,-0.0078973823330227
MCF7,9,1139,0.8572793825610858,0.1527655838454785,0.30816505706760317,0.5390693590869183,0.019109499474451504,-0.020360323814882,0.05540310228689409,0.0087649253976735,0.08534458161569662,0.0780724185828686,0.08549171408701207,0.0910497862409201,0.08611647422264719,0.0961939041775405,0.08388727264655546,0.0967876696515594,0.10496171848647866,0.1061466532500082,0.11033877937685765,0.1111543505011862,0.10885851448377187,0.1077056139412163,0.1122748511868228,0.1140531657236563,-0.12156239876921013,-0.5292936710495966,0.9962137290937757,1.0932522992823863,0.3324715845018207,0.4814019727334861,0.4880724979107622,0.5471073167584911,-0.6392074359990475,-0.6129478159712181,0.97563897948453,1.0933158954377462,0.2267976164037977,0.12462286504458878,0.2267976164037977,0.1246228650445887
MCF7,10,13674,0.9829822444097209,0.013821851689337429,0.4692847740236946,0.516893374286968,0.1738869978388875,0.21231515243322435,0.2010849739270834,0.21261614284206135,0.18971348721974152,0.19367850987559335,0.19003398115861825,0.19932334367353893,0.18856013514159342,0.19825229424271984,0.18564194701378745,0.19527242729718394,0.215081305865033,0.21679556185921015,0.221094234513058,0.22248267533581306,0.22013336621388607,0.22009699159738405,0.22294887161644375,0.2234517940405104,-0.04761402731423922,-0.5292936710495966,1.025677230468405,1.0916968938818508,0.39221748610115964,0.49338694913682485,0.3289359026106803,0.3797359312725235,-0.7764810523240021,-0.8603707488014468,0.9125480625870145,1.0237780610112723,0.736165331326587,0.7096077967568812,0.736165331326587,0.7096077967568812
