rank,gene,escape_marker_effect,escape_marker_score,escape_marker_direction,trajectory_correlation,trajectory_score,trajectory_direction,differential_expression_effect,de_cell_lines_supported,de_direction,differential_expression_score,regulatory_effect,regulatory_score,transition_model_effect,transition_model_score,transition_model_direction,signature_score,signature_direction,evidence_source_count,available_evidence_weight,priority_score,evidence_sources
34,CDC20,,,,,,,1.5251654499999998,2.0,higher_in_repop,0.4545407657211437,,,,,,1.0,up,2,0.30000000000000004,0.6363605104807625,differential_expression;signature
35,GINS1,,,,,,,1.5035946500000001,2.0,higher_in_repop,0.4528068858622001,,,,,,1.0,up,2,0.30000000000000004,0.6352045905748,differential_expression;signature
36,NCAPH,,,,,,,1.7987042,2.0,higher_in_repop,0.44562376971010054,,,,,,1.0,up,2,0.30000000000000004,0.6304158464734002,differential_expression;signature
37,RND1,,,,,,,-2.1577549,2.0,lower_in_repop,0.4386584828659722,,,,,,1.0,down,2,0.30000000000000004,0.625772321910648,differential_expression;signature
38,KNL1,,,,,,,1.6610318,2.0,higher_in_repop,0.4363049554273206,,,,,,1.0,up,2,0.30000000000000004,0.6242033036182136,differential_expression;signature
39,UBE2C,,,,,,,1.50154618,2.0,higher_in_repop,0.43024039770999223,,,,,,1.0,up,2,0.30000000000000004,0.6201602651399948,differential_expression;signature
40,IVL,,,,,,,-5.61945115,2.0,lower_in_repop,0.42888512372660026,,,,,,1.0,down,2,0.30000000000000004,0.6192567491510668,differential_expression;signature
41,H2AZ1,0.4525830745697021,0.40274096041983903,higher_in_escape_prone,0.5588633355990263,0.9671201202882573,increasing,1.4563779000000001,2.0,higher_in_repop,0.529464838223376,,,,,,,,3,0.65,0.6153880489342868,escape_marker;trajectory;differential_expression
42,IFI27,,,,-0.4767580003530816,0.700726420559482,decreasing,-5.1659925,2.0,lower_in_repop,0.32875721157596405,,,,,,1.0,down,3,0.5,0.6117934528541784,trajectory;differential_expression;signature
43,KIF20A,,,,,,,1.5382022,2.0,higher_in_repop,0.4127815511996997,,,,,,1.0,up,2,0.30000000000000004,0.6085210341331331,differential_expression;signature
