model,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,average_precision_mean,average_precision_std,average_precision_min,average_precision_max,folds,n_features
rap_plus_pathways,0.716081510187806,0.05685184487759948,0.6758811851518898,0.7562818352237223,0.7542463679603728,0.03069470808308388,0.7325419317282827,0.775950804192463,0.5157473376266521,0.0955074391919972,0.448213379720229,0.5832812955330752,0.8432322753773183,0.01810640541727511,0.8304291133238502,0.8560354374307863,0.6368078857572343,0.06850997630159705,0.5883640169354455,0.6852517545790233,0.8257270559865673,0.030137623940626974,0.8044165377292999,0.8470375742438346,0.6137026493246449,0.07354232444948379,0.5617003730021938,0.6657049256470962,2,11
full_model,0.7179376601169908,0.02806399529573729,0.6980934187361876,0.737781901497794,0.682725404753715,0.06021377138760423,0.6401478386847236,0.7253029708227066,0.5628125169926497,0.13739597798170913,0.46565888925402565,0.6599661447312738,0.5771659270741278,0.29336578922350964,0.36972498814604077,0.7846068660022149,0.5291952664120001,0.0781425623440524,0.4739401306792281,0.5844504021447721,0.8144468889361753,0.024181138135496976,0.7973482421837569,0.8315455356885939,0.5858409880326303,0.061047133919960264,0.5426741456658232,0.6290078303994375,2,17
rap_only,0.6862497088586935,0.024622184239646145,0.6688391954152152,0.7036602223021718,0.6896239830156295,0.009414316113914425,0.6829670562512469,0.6962809097800122,0.48312520553499555,0.06730772491462556,0.4355314568216251,0.530718954248366,0.6908713880868103,0.09223418876020277,0.6256519677572309,0.7560908084163898,0.563491411991449,0.015269625382988988,0.5526941563369593,0.5742886676459388,0.781317636603601,0.013125795843137581,0.7720362973544481,0.7905989758527537,0.5224751654954108,0.04845204799814415,0.48821439379354703,0.5567359371972747,2,1
rap_plus_regulators,0.6629559935248722,0.03697159912788714,0.6368131250702326,0.6890988619795119,0.6358784766634475,0.1349096901337544,0.540482919922094,0.7312740334048012,0.49047968516552254,0.09570236474401606,0.4228078940794404,0.5581514762516047,0.5330032340436257,0.5715553973590445,0.1288525367472736,0.9371539313399778,0.39604355527078955,0.26399537401152773,0.20937063610535947,0.5827164744362197,0.7665556099702006,0.02278296256106373,0.7504456226477532,0.782665597292648,0.5143942051502889,0.002748496936200224,0.5124507243286313,0.5163376859719465,2,7
pathways_only,0.569879491977896,0.15537293813601444,0.4600142338090422,0.6797447501467497,0.6420614903475286,0.06628505376590908,0.5951908793383394,0.6889321013567178,0.4098907600431264,0.12623308895686255,0.32063048683160417,0.4991510332546486,0.8020952955928475,0.12404978341306433,0.7143788525367473,0.8898117386489479,0.5295390589158895,0.08222212422476571,0.471399237312995,0.587678880518784,0.6916753405719152,0.08401934163228252,0.6322646943528989,0.7510859867909313,0.44030549786508155,0.11174840856595501,0.36128744038128985,0.5193235553488732,2,10
pathways_plus_regulators,0.5858090145642003,0.13546951060081414,0.4900176049743417,0.6816004241540589,0.5665215389816671,0.04937380944315058,0.531608983511403,0.6014340944519313,0.4177374737789908,0.126770403484272,0.32809726182150734,0.5073776857364742,0.48021895168468,0.5148446613600078,0.1161688003793267,0.8442691029900332,0.33080245838185235,0.2004649582919141,0.18905232698336147,0.47255258978034326,0.6758915864937575,0.06422347878919171,0.6304787291305296,0.7213044438569853,0.4163504778988669,0.08866221779704268,0.35365682245953944,0.4790441333381944,2,16
regulators_only,0.5467993212292981,0.1742221626666187,0.42360564857474625,0.6699929938838499,0.534883306060765,0.046975393193784507,0.5016666869845355,0.5680999251369944,0.3231092852381906,0.025759780785139953,0.30489436956313926,0.341324200913242,0.45923606549371543,0.5993334227507489,0.03544333807491702,0.8830287929125138,0.2587487711351927,0.27510775352818007,0.06421821305841924,0.4532793292119662,0.5751107748865785,0.02899207726599977,0.5546102804511057,0.5956112693220513,0.3356914508086054,0.01780748534110208,0.32309965716803213,0.34828324444917874,2,6
majority_class,0.7049644510935151,0.03456811359456565,0.6805211035579709,0.7294077986290595,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.29503554890648487,0.03456811359456571,0.27059220137094053,0.31947889644202915,2,0
