prediction_task,model,n_features,n_cells,positive_fraction,roc_auc_mean,roc_auc_std,balanced_accuracy_mean,balanced_accuracy_std,fold_cell_lines,fold_roc_auc,fold_balanced_accuracy,n_folds
tis_vs_repop_observed_condition,rap_plus_cell_cycle,4,60416,0.3988347457627119,0.9928566732466709,0.0008801723098665892,0.9202321788991876,0.002004587153646098,MCF7;T47D,0.993737;0.991977,0.922237;0.918228,2
tis_vs_repop_observed_condition,rap_plus_pathways_plus_cell_cycle,14,60416,0.3988347457627119,0.989049264801259,0.0025905385646090573,0.9130882777418248,0.019828744815272747,MCF7;T47D,0.991640;0.986459,0.893260;0.932917,2
tis_vs_repop_observed_condition,rap_plus_pathways_plus_regulators_plus_cell_cycle,20,60416,0.3988347457627119,0.9874638032310268,0.004972596068857915,0.8579823242821001,0.01624237631680775,MCF7;T47D,0.992436;0.982491,0.874225;0.841740,2
tis_vs_repop_observed_condition,rap_plus_pathways,11,60416,0.3988347457627119,0.9815012279538449,0.003205083051167401,0.9179072861023944,0.008461288125740984,MCF7;T47D,0.984706;0.978296,0.909446;0.926369,2
tis_vs_repop_observed_condition,rap_only,1,60416,0.3988347457627119,0.9410620638381284,0.016994930008657094,0.8739355898878041,0.0278753810299322,MCF7;T47D,0.958057;0.924067,0.901811;0.846060,2
tis_vs_repop_observed_condition,cell_cycle_only,3,60416,0.3988347457627119,0.735370942165996,0.05216344280873925,0.6494573700104218,0.043857111491163225,MCF7;T47D,0.787534;0.683207,0.693314;0.605600,2
tis_vs_repop_observed_condition,pathways_only,10,60416,0.3988347457627119,0.7286102625798507,0.025849676454235245,0.630937775639256,0.015840531445817374,MCF7;T47D,0.754460;0.702761,0.615097;0.646778,2
tis_vs_repop_observed_condition,pathways_plus_cell_cycle,13,60416,0.3988347457627119,0.7090004011122539,0.02661018280699806,0.6108178303083185,0.020095700077731593,MCF7;T47D,0.735611;0.682390,0.590722;0.630914,2
tis_vs_repop_observed_condition,regulators_only,6,60416,0.3988347457627119,0.6514486428990183,0.039428045599234796,0.5424066512666371,0.031845558820668085,MCF7;T47D,0.690877;0.612021,0.574252;0.510561,2
