transcription_factor,cell_lines_supported,mean_regulatory_score,mean_rap_correlation,minimum_regulatory_score
E2F1,2,0.16589569859008932,0.1291891537297842,0.14114559824010822
FOS,2,0.05016448213499771,-0.13310769525066812,0.0
TP53,1,0.06621870560271516,0.08129648037903732,0.06621870560271516
JUN,1,0.05431704969972035,-0.14842923420094767,0.05431704969972035
STAT3,1,0.05223651017911233,-0.18957725493722685,0.05223651017911233
MYC,1,0.004557776913488814,-0.10005763965154964,0.004557776913488814
