prediction_task,model,n_features,n_cells,positive_fraction,roc_auc_mean,roc_auc_std,balanced_accuracy_mean,balanced_accuracy_std,fold_cell_lines,fold_roc_auc,fold_balanced_accuracy,n_folds
stable_tis_vs_escape_prone_tis_internal,rap_plus_pathways_plus_regulators_plus_cell_cycle,20,36320,0.10002753303964758,0.9998921708100934,7.31213338977521e-05,0.9306767443076125,0.029056831229777702,MCF7;T47D,0.999965;0.999819,0.959734;0.901620,2
stable_tis_vs_escape_prone_tis_internal,rap_plus_pathways,11,36320,0.10002753303964758,0.9987292311421323,0.000495840421071092,0.9259162733068393,0.027610823272028295,MCF7;T47D,0.999225;0.998233,0.953527;0.898305,2
stable_tis_vs_escape_prone_tis_internal,rap_plus_pathways_plus_cell_cycle,14,36320,0.10002753303964758,0.9986840736038465,0.0004378817433520199,0.9246214800202108,0.027896432988165465,MCF7;T47D,0.999122;0.998246,0.952518;0.896725,2
stable_tis_vs_escape_prone_tis_internal,rap_plus_cell_cycle,4,36320,0.10002753303964758,0.9683316968930871,0.005791993846911925,0.8444049491121883,0.03363686478813405,MCF7;T47D,0.974124;0.962540,0.878042;0.810768,2
stable_tis_vs_escape_prone_tis_internal,rap_only,1,36320,0.10002753303964758,0.9016190572736956,0.011379062274812779,0.7734575311765983,0.03601014471478675,MCF7;T47D,0.912998;0.890240,0.737447;0.809468,2
stable_tis_vs_escape_prone_tis_internal,pathways_plus_cell_cycle,13,36320,0.10002753303964758,0.7753011397267748,0.006606506606216644,0.6825294925181478,0.014047623297715528,MCF7;T47D,0.781908;0.768695,0.668482;0.696577,2
stable_tis_vs_escape_prone_tis_internal,cell_cycle_only,3,36320,0.10002753303964758,0.6893370288600873,0.02060318426812985,0.6203108673933477,0.007931545876070478,MCF7;T47D,0.668734;0.709940,0.612379;0.628242,2
stable_tis_vs_escape_prone_tis_internal,pathways_only,10,36320,0.10002753303964758,0.6546888295552873,0.027698664334206924,0.6023278044734512,0.03918102386808647,MCF7;T47D,0.682387;0.626990,0.641509;0.563147,2
stable_tis_vs_escape_prone_tis_internal,regulators_only,6,36320,0.10002753303964758,0.6167298559440726,0.008885338514245777,0.5703660912310511,0.0018582323284677127,MCF7;T47D,0.625615;0.607845,0.568508;0.572224,2
