gene,direction,cell_lines_supported,mean_log2_fold_change,minimum_adjusted_p_value,absolute_mean_log2_fold_change,comparison,required_cell_lines
TROAP,up,2,1.642864915,8.895801435266768e-288,1.642864915,REPOP_vs_TIS,2
LMNB1,up,2,1.63531245,0.0,1.63531245,REPOP_vs_TIS,2
ARHGEF39,up,2,1.63324055,4.593410014285169e-122,1.63324055,REPOP_vs_TIS,2
SLC18B1,up,2,1.62843163,1.1789179429523615e-10,1.62843163,REPOP_vs_TIS,2
RRM2,up,2,1.61299135,0.0,1.61299135,REPOP_vs_TIS,2
NMU,up,2,1.6083964000000002,2.157702708236655e-62,1.6083964000000002,REPOP_vs_TIS,2
MND1,up,2,1.60509115,1.6237626516743284e-126,1.60509115,REPOP_vs_TIS,2
KIF2C,up,2,1.6042381,6.314589745468063e-173,1.6042381,REPOP_vs_TIS,2
KIF18B,up,2,1.6003033,1.6166947695559285e-56,1.6003033,REPOP_vs_TIS,2
NUDT3,up,2,1.59705585,0.0,1.59705585,REPOP_vs_TIS,2
PIMREG,up,2,1.5967915499999998,5.208628525497671e-115,1.5967915499999998,REPOP_vs_TIS,2
BCYRN1,up,2,1.593899,1.117006453691781e-292,1.593899,REPOP_vs_TIS,2
AC026401.3,up,2,1.5890615000000001,1.840692385177196e-87,1.5890615000000001,REPOP_vs_TIS,2
KIF11,up,2,1.5890195,0.0,1.5890195,REPOP_vs_TIS,2
ANP32E,up,2,1.5882011,0.0,1.5882011,REPOP_vs_TIS,2
CCDC28B,up,2,1.58061845,1.509121193374817e-18,1.58061845,REPOP_vs_TIS,2
FAM72D,up,2,1.5726309,6.2734104861102e-41,1.5726309,REPOP_vs_TIS,2
MPP2,up,2,1.5702237499999998,1.0954253362464993e-251,1.5702237499999998,REPOP_vs_TIS,2
BIRC5,up,2,1.56756055,0.0,1.56756055,REPOP_vs_TIS,2
CKS1B,up,2,1.5510055500000002,0.0,1.5510055500000002,REPOP_vs_TIS,2
WDR76,up,2,1.54388865,6.096406558317552e-164,1.54388865,REPOP_vs_TIS,2
