cell_line,status,cells,mean_transition_probability,median_transition_probability,mean_escape_pseudotime,mean_rap
MCF7,escape_prone_tis,1102,0.6861869605073048,0.6772528497622508,0.6861872444896349,-0.026820543806517765
MCF7,stable_tis,9909,0.0369579258821351,0.003096745809422096,0.03695794117682599,-1.0370494013916078
T47D,escape_prone_tis,2531,0.5195640924054543,0.46535084546525174,0.5195643074298317,0.13984086508008822
T47D,stable_tis,22778,0.018780851585656105,0.002177367403553937,0.018780859357647128,-0.8512424013509785
