cell_line,condition,cells,mean_pseudotime,median_pseudotime,standard_deviation,minimum_pseudotime,maximum_pseudotime
MCF7,CTR,8462,0.9342873713376082,0.9850924448752769,0.1344212153965299,0.003436928753132481,0.9999925777143931
MCF7,TIS,11011,0.10193393720359155,0.0052090244592083185,0.21523151981201144,3.748253452806366e-12,0.9990098917314242
MCF7,REPOP,7224,0.9514155161071458,0.9940606818841676,0.1300516561824453,6.385570834963316e-06,0.9999999198413996
T47D,CTR,10630,0.9151067847264026,0.9845016744805719,0.17084667611543086,0.0002327649310200697,0.9999992321505952
T47D,TIS,25309,0.06886118284220595,0.003351084142476311,0.1718935560232566,0.0,0.9990692308704533
T47D,REPOP,16872,0.9082176836901202,0.9863251092643956,0.18709855135097403,2.0159508785600096e-06,1.0
