cell_line,transcription_factor,rap_correlation,absolute_rap_correlation,rap_p_value,cell_count,target_count,consistent_target_count,mean_absolute_target_correlation,consistency_fraction,regulatory_score
T47D,E2F1,0.15120628010941786,0.15120628010941786,1.366427421224547e-267,52811,164,164,0.24693419685828033,1.0,0.19064579894007042
MCF7,E2F1,0.10717202735015056,0.10717202735015056,4.913808464157282e-69,26697,166,166,0.2573274616759718,1.0,0.14114559824010822
MCF7,FOS,-0.21541011781367136,0.21541011781367136,8.645872113167246e-278,26697,34,33,0.13497181379027043,0.9705882352941176,0.10032896426999542
T47D,TP53,0.08129648037903732,0.08129648037903732,3.879734113531949e-78,52811,136,136,0.16555622852450522,1.0,0.06621870560271516
MCF7,JUN,-0.14842923420094767,0.14842923420094767,2.3943865024845297e-131,26697,19,19,0.12215569746048667,1.0,0.05431704969972035
MCF7,STAT3,-0.18957725493722685,0.18957725493722685,1.7469643263435464e-214,26697,9,9,0.11966640266092766,1.0,0.05223651017911233
T47D,MYC,-0.10005763965154964,0.10005763965154964,1.4303785612644035e-117,52811,23,3,0.10988746196650803,0.13043478260869565,0.004557776913488814
T47D,FOS,-0.05080527268766491,0.05080527268766491,1.5634967530177527e-31,52811,66,0,0.13447234289162013,0.0,0.0
