cell_line,condition,cells,mean_transition_probability,median_transition_probability,standard_deviation
MCF7,CTR,8462,0.9342869846774768,0.9850920371891456,0.13442115976546276
MCF7,TIS,11011,0.10193389501817515,0.005209022304006713,0.21523143073709078
MCF7,REPOP,7224,0.9514151223584237,0.9940602704864749,0.1300516023597473
T47D,CTR,10630,0.9151064060042778,0.9845012670389346,0.1708466054094576
T47D,TIS,25309,0.0688611543441574,0.0033510827561950155,0.17189348488402484
T47D,REPOP,16872,0.9082173078190935,0.9863247010681184,0.18709847391905846
