gene,full_rank,full_priority_score,rank_without_escape_marker,score_without_escape_marker,rank_shift_without_escape_marker,rank_without_trajectory,score_without_trajectory,rank_shift_without_trajectory,rank_without_differential_expression,score_without_differential_expression,rank_shift_without_differential_expression,rank_without_regulatory,score_without_regulatory,rank_shift_without_regulatory,rank_without_transition_model,score_without_transition_model,rank_shift_without_transition_model,rank_without_signature,score_without_signature,rank_shift_without_signature,mean_absolute_rank_shift,maximum_absolute_rank_shift,rank_stability_score
NCF2,28,0.6524182021795357,37,0.6524182021795357,9,26,0.6524182021795357,-2,113,1.0,85,28,0.6524182021795357,0,27,0.6524182021795357,-1,173,0.47862730326930375,145,40.333333333333336,145,0.024193548387096774
KIF14,29,0.6503130591297537,38,0.6503130591297537,9,27,0.6503130591297537,-2,83,1.0,54,29,0.6503130591297537,0,28,0.6503130591297537,-1,179,0.4754695886946307,150,36.0,150,0.02702702702702703
ENC1,30,0.6496829350893555,39,0.6496829350893555,9,28,0.6496829350893555,-2,46,1.0,16,30,0.6496829350893555,0,29,0.6496829350893555,-1,181,0.4745244026340334,151,29.833333333333332,151,0.032432432432432434
H4C8,31,0.6461169056612761,40,0.6461169056612761,9,30,0.6461169056612761,-1,72,1.0,41,31,0.6461169056612761,0,30,0.6461169056612761,-1,187,0.4691753584919142,156,34.666666666666664,156,0.028037383177570097
PLK1,32,0.6453224467779706,41,0.6453224467779706,9,31,0.6453224467779706,-1,135,1.0,103,32,0.6453224467779706,0,31,0.6453224467779706,-1,192,0.46798367016695597,160,45.666666666666664,160,0.02142857142857143
PBK,33,0.6421132486951168,42,0.6421132486951168,9,32,0.6421132486951168,-1,126,1.0,93,33,0.6421132486951168,0,32,0.6421132486951168,-1,199,0.4631698730426753,166,45.0,166,0.021739130434782608
CDC20,34,0.6363605104807625,43,0.6363605104807625,9,33,0.6363605104807625,-1,26,1.0,-8,34,0.6363605104807625,0,33,0.6363605104807625,-1,209,0.4545407657211437,175,32.333333333333336,175,0.03
GINS1,35,0.6352045905748,44,0.6352045905748,9,34,0.6352045905748,-1,62,1.0,27,35,0.6352045905748,0,34,0.6352045905748,-1,213,0.4528068858622001,178,36.0,178,0.02702702702702703
NCAPH,36,0.6304158464734002,45,0.6304158464734002,9,35,0.6304158464734002,-1,112,1.0,76,36,0.6304158464734002,0,35,0.6304158464734002,-1,221,0.44562376971010054,185,45.333333333333336,185,0.021582733812949638
RND1,37,0.625772321910648,46,0.625772321910648,9,36,0.625772321910648,-1,145,1.0,108,37,0.625772321910648,0,36,0.625772321910648,-1,230,0.4386584828659722,193,52.0,193,0.018867924528301886
KNL1,38,0.6242033036182136,47,0.6242033036182136,9,37,0.6242033036182136,-1,91,1.0,53,38,0.6242033036182136,0,37,0.6242033036182136,-1,233,0.4363049554273206,195,43.166666666666664,195,0.022641509433962266
UBE2C,39,0.6201602651399948,49,0.6201602651399948,10,38,0.6201602651399948,-1,179,1.0,140,39,0.6201602651399948,0,38,0.6201602651399948,-1,248,0.43024039770999223,209,60.166666666666664,209,0.016348773841961855
IVL,40,0.6192567491510668,50,0.6192567491510668,10,39,0.6192567491510668,-1,80,1.0,40,40,0.6192567491510668,0,39,0.6192567491510668,-1,252,0.4288851237266003,212,44.0,212,0.022222222222222223
H2AZ1,41,0.6153880489342868,4,0.7482924792558167,-37,366,0.4590626838880777,325,193,0.6535761425835805,152,41,0.6153880489342868,0,40,0.6153880489342868,-1,8,0.6153880489342868,-33,91.33333333333333,325,0.010830324909747294
IFI27,42,0.6117934528541784,51,0.6117934528541784,9,67,0.5525048077173093,25,189,0.8004842803729879,147,42,0.6117934528541784,0,41,0.6117934528541784,-1,97,0.514741816067723,55,39.5,147,0.024691358024691357
KIF20A,43,0.6085210341331331,52,0.6085210341331331,9,40,0.6085210341331331,-3,86,1.0,43,43,0.6085210341331331,0,42,0.6085210341331331,-1,277,0.4127815511996997,234,48.333333333333336,234,0.020270270270270268
SYTL2,44,0.607813155021956,53,0.607813155021956,9,41,0.607813155021956,-3,167,1.0,123,44,0.607813155021956,0,43,0.607813155021956,-1,278,0.41171973253293415,234,61.666666666666664,234,0.01595744680851064
GPRC5A,45,0.6065401780514027,54,0.6065401780514027,9,42,0.6065401780514027,-3,66,1.0,21,45,0.6065401780514027,0,44,0.6065401780514027,-1,283,0.409810267077104,238,45.333333333333336,238,0.021582733812949638
ANXA1,46,0.6065387251303759,55,0.6065387251303759,9,43,0.6065387251303759,-3,10,1.0,-36,46,0.6065387251303759,0,45,0.6065387251303759,-1,284,0.409808087695564,238,47.833333333333336,238,0.020477815699658702
GAS2L3,47,0.6053413605080713,56,0.6053413605080713,9,44,0.6053413605080713,-3,59,1.0,12,47,0.6053413605080713,0,46,0.6053413605080713,-1,289,0.4080120407621071,242,44.5,242,0.02197802197802198
AURKB,48,0.6030594551555394,57,0.6030594551555394,9,45,0.6030594551555394,-3,16,1.0,-32,48,0.6030594551555394,0,47,0.6030594551555394,-1,291,0.40458918273330924,243,48.0,243,0.02040816326530612
MELK,49,0.5980906638233262,58,0.5980906638233262,9,46,0.5980906638233262,-3,103,1.0,54,49,0.5980906638233262,0,49,0.5980906638233262,0,306,0.3971359957349894,257,53.833333333333336,257,0.0182370820668693
MACC1,50,0.5963635313460357,59,0.5963635313460357,9,47,0.5963635313460357,-3,99,1.0,49,50,0.5963635313460357,0,50,0.5963635313460357,0,312,0.3945452970190536,262,53.833333333333336,262,0.0182370820668693
CIT,51,0.5912465124873864,61,0.5912465124873864,10,48,0.5912465124873864,-3,30,1.0,-21,51,0.5912465124873864,0,51,0.5912465124873864,0,329,0.3868697687310796,278,52.0,278,0.018867924528301886
ESPL1,52,0.5859510440555412,62,0.5859510440555412,10,49,0.5859510440555412,-3,50,1.0,-2,52,0.5859510440555412,0,52,0.5859510440555412,0,353,0.3789265660833119,301,52.666666666666664,301,0.018633540372670808
BCYRN1,53,0.5851550209384139,64,0.5851550209384139,11,50,0.5851550209384139,-3,18,1.0,-35,53,0.5851550209384139,0,53,0.5851550209384139,0,355,0.37773253140762086,302,58.5,302,0.01680672268907563
NRM,54,0.5809614634516467,65,0.5809614634516467,11,51,0.5809614634516467,-3,117,1.0,63,54,0.5809614634516467,0,54,0.5809614634516467,0,368,0.37144219517747007,314,65.16666666666667,314,0.015113350125944584
KIF15,55,0.5804350266869417,66,0.5804350266869417,11,52,0.5804350266869417,-3,84,1.0,29,55,0.5804350266869417,0,55,0.5804350266869417,0,369,0.3706525400304126,314,59.5,314,0.01652892561983471
KIF2C,56,0.5783021720300318,67,0.5783021720300318,11,53,0.5783021720300318,-3,87,1.0,31,56,0.5783021720300318,0,56,0.5783021720300318,0,379,0.3674532580450478,323,61.333333333333336,323,0.0160427807486631
H2BC4,57,0.5745543510701387,68,0.5745543510701387,11,54,0.5745543510701387,-3,70,1.0,13,57,0.5745543510701387,0,57,0.5745543510701387,0,393,0.3618315266052081,336,60.5,336,0.016260162601626018
RIPPLY3,58,0.5712413185302311,69,0.5712413185302311,11,55,0.5712413185302311,-3,144,1.0,86,58,0.5712413185302311,0,58,0.5712413185302311,0,409,0.35686197779534673,351,75.16666666666667,351,0.01312910284463895
L1CAM,59,0.5691528047863307,70,0.5691528047863307,11,56,0.5691528047863307,-3,93,1.0,34,59,0.5691528047863307,0,59,0.5691528047863307,0,425,0.353729207179496,366,69.0,366,0.014285714285714285
PLOD2,60,0.5683738604004264,71,0.5683738604004264,11,57,0.5683738604004264,-3,136,1.0,76,60,0.5683738604004264,0,60,0.5683738604004264,0,430,0.35256079060063966,370,76.66666666666667,370,0.012875536480686695
SPC24,61,0.5680799908465424,72,0.5680799908465424,11,58,0.5680799908465424,-3,162,1.0,101,61,0.5680799908465424,0,61,0.5680799908465424,0,431,0.35211998626981367,370,80.83333333333333,370,0.012219959266802445
IFIT1,62,0.5671961487019681,73,0.5671961487019681,11,59,0.5671961487019681,-3,74,1.0,12,62,0.5671961487019681,0,62,0.5671961487019681,0,435,0.3507942230529521,373,66.5,373,0.014814814814814815
TROAP,63,0.56534106116832,74,0.56534106116832,11,60,0.56534106116832,-3,176,1.0,113,63,0.56534106116832,0,63,0.56534106116832,0,447,0.3480115917524801,384,85.16666666666667,384,0.011605415860735008
FOXM1,64,0.5611539821306443,75,0.5611539821306443,11,61,0.5611539821306443,-3,57,1.0,-7,64,0.5611539821306443,0,64,0.5611539821306443,0,476,0.34173097319596657,412,72.16666666666667,412,0.013667425968109338
TSPAN1,65,0.5589580419085125,76,0.5589580419085125,11,62,0.5589580419085125,-3,177,1.0,112,65,0.5589580419085125,0,65,0.5589580419085125,0,486,0.3384370628627688,421,91.16666666666667,421,0.0108499095840868
PTTG1,66,0.5586819313512521,14,0.6920333568493171,-52,63,0.5586819313512521,-3,195,0.5704715862525529,129,66,0.5586819313512521,0,66,0.5586819313512521,0,204,0.4606112494293081,138,53.666666666666664,138,0.01829268292682927
ANKRD1,67,0.5567617296441645,77,0.5567617296441645,10,64,0.5567617296441645,-3,9,1.0,-58,67,0.5567617296441645,0,67,0.5567617296441645,0,503,0.33514259446624683,436,84.5,436,0.011695906432748537
TUBA1B,68,0.5555834861871963,97,0.5357804942907571,29,65,0.5564649773597368,-3,194,0.5723046544781571,126,68,0.5555834861871963,0,68,0.5555834861871963,0,12,0.5555834861871963,-56,35.666666666666664,126,0.027272727272727275
ANXA3,69,0.5555560861800694,78,0.5555560861800694,9,66,0.5555560861800694,-3,11,1.0,-58,69,0.5555560861800694,0,69,0.5555560861800694,0,513,0.3333341292701042,444,85.66666666666667,444,0.011538461538461537
SHISA2,70,0.5518566580849152,79,0.5518566580849152,9,68,0.5518566580849152,-2,154,1.0,84,70,0.5518566580849152,0,70,0.5518566580849152,0,548,0.32778498712737303,478,95.5,478,0.010362694300518135
EPAS1,71,0.5511808408181119,80,0.5511808408181119,9,69,0.5511808408181119,-2,48,1.0,-23,71,0.5511808408181119,0,71,0.5511808408181119,0,557,0.32677126122716793,486,86.66666666666667,486,0.011406844106463877
MT2A,72,0.5506622342738758,81,0.5506622342738758,9,70,0.5506622342738758,-2,109,1.0,37,72,0.5506622342738758,0,72,0.5506622342738758,0,565,0.3259933514108139,493,90.16666666666667,493,0.010968921389396709
OAS1,73,0.5506432023326516,82,0.5506432023326516,9,71,0.5506432023326516,-2,124,1.0,51,73,0.5506432023326516,0,73,0.5506432023326516,0,566,0.3259648034989776,493,92.5,493,0.0106951871657754
KLK5,74,0.5506401701253014,83,0.5506401701253014,9,72,0.5506401701253014,-2,89,1.0,15,74,0.5506401701253014,0,74,0.5506401701253014,0,567,0.3259602551879522,493,86.5,493,0.011428571428571429
MAP1B,75,0.5494780420764981,84,0.5494780420764981,9,73,0.5494780420764981,-2,101,1.0,26,75,0.5494780420764981,0,75,0.5494780420764981,0,581,0.3242170631147472,506,90.5,506,0.01092896174863388
SAMD9,76,0.5467716218491541,85,0.5467716218491541,9,74,0.5467716218491541,-2,151,1.0,75,76,0.5467716218491541,0,76,0.5467716218491541,0,608,0.32015743277373127,532,103.0,532,0.009615384615384616
CAPN8,77,0.5453162492162116,86,0.5453162492162116,9,75,0.5453162492162116,-2,22,1.0,-55,77,0.5453162492162116,0,77,0.5453162492162116,0,632,0.3179743738243175,555,103.5,555,0.009569377990430622
PIMREG,78,0.545269246805422,87,0.545269246805422,9,76,0.545269246805422,-2,133,1.0,55,78,0.545269246805422,0,78,0.545269246805422,0,633,0.31790387020813304,555,103.5,555,0.009569377990430622
PRSS23,79,0.5421277371675257,88,0.5421277371675257,9,77,0.5421277371675257,-2,139,1.0,60,79,0.5421277371675257,0,79,0.5421277371675257,0,676,0.3131916057512886,597,111.33333333333333,597,0.008902077151335312
SPC25,80,0.5393485517628133,90,0.5393485517628133,10,79,0.5393485517628133,-1,163,1.0,83,81,0.5393485517628133,1,81,0.5393485517628133,1,705,0.30902282764421996,625,120.16666666666667,625,0.008253094910591471
LIMCH1,81,0.5388189482610186,91,0.5388189482610186,10,80,0.5388189482610186,-1,96,1.0,15,82,0.5388189482610186,1,82,0.5388189482610186,1,709,0.308228422391528,628,109.33333333333333,628,0.00906344410876133
PARP9,82,0.5380740965367825,92,0.5380740965367825,10,81,0.5380740965367825,-1,125,1.0,43,83,0.5380740965367825,1,83,0.5380740965367825,1,720,0.3071111448051738,638,115.66666666666667,638,0.008571428571428572
XAF1,83,0.5364848431247585,95,0.5364848431247585,12,83,0.5364848431247585,0,182,1.0,99,85,0.5364848431247585,2,85,0.5364848431247585,2,737,0.3047272646871378,654,128.16666666666666,654,0.007741935483870969
DAPP1,84,0.5364653332943246,96,0.5364653332943246,12,84,0.5364653332943246,0,38,1.0,-46,86,0.5364653332943246,2,86,0.5364653332943246,2,738,0.3046979999414868,654,119.33333333333333,654,0.008310249307479225
CRABP1,85,0.5357556568115472,98,0.5357556568115472,13,85,0.5357556568115472,0,36,1.0,-49,87,0.5357556568115472,2,87,0.5357556568115472,2,748,0.3036334852173209,663,121.5,663,0.00816326530612245
TGFB2,86,0.534565094282873,99,0.534565094282873,13,86,0.534565094282873,0,168,1.0,82,88,0.534565094282873,2,88,0.534565094282873,2,760,0.30184764142430953,674,128.83333333333334,674,0.007702182284980744
CDK6,87,0.5340939905802543,102,0.5340939905802543,15,90,0.5340939905802543,3,28,1.0,-59,91,0.5340939905802543,4,91,0.5340939905802543,4,764,0.3011409858703815,677,127.0,677,0.0078125
PIF1,88,0.5338589408739342,103,0.5338589408739342,15,91,0.5338589408739342,3,132,1.0,44,92,0.5338589408739342,4,92,0.5338589408739342,4,768,0.30078841131090134,680,125.0,680,0.007936507936507936
GPNMB,89,0.533815367000596,104,0.533815367000596,15,92,0.533815367000596,3,63,1.0,-26,93,0.533815367000596,4,93,0.533815367000596,4,769,0.300723050500894,680,122.0,680,0.008130081300813009
IFIT3,90,0.5336022712443976,105,0.5336022712443976,15,93,0.5336022712443976,3,76,1.0,-14,94,0.5336022712443976,4,94,0.5336022712443976,4,773,0.30040340686659656,683,120.5,683,0.00823045267489712
