rank,gene,priority_score,evidence_source_count,escape_marker_score,trajectory_score,differential_expression_score,regulatory_score,transition_model_score,signature_score,has_escape_marker,has_trajectory,has_differential_expression,has_regulatory,has_transition_model,has_signature
64,FOXM1,0.5611539821306443,2,,,0.3417309731959666,,,1.0,False,False,True,False,False,True
65,TSPAN1,0.5589580419085125,2,,,0.3384370628627688,,,1.0,False,False,True,False,False,True
66,PTTG1,0.5586819313512521,3,0.398660220753574,,0.5380500352739757,,,1.0,True,False,True,False,False,True
67,ANKRD1,0.5567617296441645,2,,,0.33514259446624683,,,1.0,False,False,True,False,False,True
68,TUBA1B,0.5555834861871963,3,0.5872682732214988,0.5536001310489799,0.5179608575325344,,,,True,True,True,False,False,False
69,ANXA3,0.5555560861800694,2,,,0.3333341292701042,,,1.0,False,False,True,False,False,True
70,SHISA2,0.5518566580849152,2,,,0.32778498712737303,,,1.0,False,False,True,False,False,True
71,EPAS1,0.5511808408181119,2,,,0.32677126122716793,,,1.0,False,False,True,False,False,True
72,MT2A,0.5506622342738758,2,,,0.325993351410814,,,1.0,False,False,True,False,False,True
73,OAS1,0.5506432023326516,2,,,0.3259648034989776,,,1.0,False,False,True,False,False,True
74,KLK5,0.5506401701253014,2,,,0.32596025518795224,,,1.0,False,False,True,False,False,True
75,MAP1B,0.5494780420764981,2,,,0.3242170631147472,,,1.0,False,False,True,False,False,True
76,SAMD9,0.5467716218491541,2,,,0.3201574327737313,,,1.0,False,False,True,False,False,True
77,CAPN8,0.5453162492162116,2,,,0.3179743738243175,,,1.0,False,False,True,False,False,True
78,PIMREG,0.545269246805422,2,,,0.31790387020813304,,,1.0,False,False,True,False,False,True
79,PRSS23,0.5421277371675257,2,,,0.3131916057512886,,,1.0,False,False,True,False,False,True
80,SPC25,0.5393485517628133,2,,,0.30902282764421996,,,1.0,False,False,True,False,False,True
81,LIMCH1,0.5388189482610186,2,,,0.308228422391528,,,1.0,False,False,True,False,False,True
82,PARP9,0.5380740965367825,2,,,0.3071111448051738,,,1.0,False,False,True,False,False,True
83,XAF1,0.5364848431247585,2,,,0.3047272646871378,,,1.0,False,False,True,False,False,True
84,DAPP1,0.5364653332943246,2,,,0.3046979999414868,,,1.0,False,False,True,False,False,True
