model_name,target,intervention,association_sign,direction_evidence,priority_score,evidence_source_count,affected_pathway_count,affected_pathways,mean_baseline_escape_probability,mean_perturbed_escape_probability,mean_delta_escape_probability,mean_predicted_escape_reduction,median_predicted_escape_reduction,maximum_predicted_escape_reduction,cells_with_reduced_escape_probability,fraction_cells_with_reduced_escape_probability,perturbation_strength
rap_plus_pathways,IFI6,activate,-1.0,differential_expression_effect,0.8147518270098308,3.0,1,Interferon Alpha/Beta Signaling R-HSA-909733,0.40940627470332364,0.4807507616655194,0.07134448696219584,-0.07134448696219584,-0.06927021532841456,-9.388600284421384e-10,0,0.0,1.0
rap_plus_pathways,TOP2A,inhibit,1.0,differential_expression_effect,0.7809166065664604,4.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0
rap_plus_pathways,CLU,activate,-1.0,differential_expression_effect,0.7603539739481504,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,HMGB2,inhibit,1.0,differential_expression_effect,0.7573902312818401,3.0,1,E2F Targets,0.40940627470332364,0.08448950061729187,-0.3249167740860317,0.3249167740860317,0.36251540172866137,0.6456412578714368,79508,1.0,1.0
rap_plus_pathways,MYO1B,activate,-1.0,differential_expression_effect,0.7054155897786791,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,H4C3,inhibit,1.0,differential_expression_effect,0.705187779578552,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,PHGDH,inhibit,1.0,differential_expression_effect,0.7003715177248218,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,KRT80,activate,-1.0,differential_expression_effect,0.6995790414627282,2.0,1,Keratinization R-HSA-6805567,0.40940627470332364,0.26042179674815136,-0.1489844779551722,0.1489844779551722,0.16305950486177206,0.289115722265103,79508,1.0,1.0
rap_plus_pathways,SDC2,activate,-1.0,differential_expression_effect,0.6971779366564773,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,PRC1,inhibit,1.0,differential_expression_effect,0.6915602903572053,2.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0
rap_plus_pathways,DHTKD1,inhibit,1.0,differential_expression_effect,0.6908306961041671,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,LMNB1,inhibit,1.0,differential_expression_effect,0.6887235532582613,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0
rap_plus_pathways,RRM2,inhibit,1.0,differential_expression_effect,0.6884224623231245,2.0,1,E2F Targets,0.40940627470332364,0.08448950061729187,-0.3249167740860317,0.3249167740860317,0.36251540172866137,0.6456412578714368,79508,1.0,1.0
rap_plus_pathways,NUDT3,inhibit,1.0,differential_expression_effect,0.6882075072090454,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,KIF11,inhibit,1.0,differential_expression_effect,0.6880991043016356,2.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0
rap_plus_pathways,CKS1B,inhibit,1.0,differential_expression_effect,0.6875863313758503,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0
rap_plus_pathways,E2F1,inhibit,1.0,transition_model_effect,0.6874416343554115,3.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0
rap_plus_pathways,ZWINT,inhibit,1.0,differential_expression_effect,0.6869889853380513,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,BCAS1,activate,-1.0,differential_expression_effect,0.6837812817613224,3.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,YBX2,inhibit,1.0,differential_expression_effect,0.6835576591719393,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,ARHGAP11A,inhibit,1.0,differential_expression_effect,0.6796115438135014,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,CCNA2,inhibit,1.0,differential_expression_effect,0.6722182796119277,2.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0
rap_plus_pathways,MKI67,inhibit,1.0,differential_expression_effect,0.6708860019200854,4.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0
rap_plus_pathways,CENPF,inhibit,1.0,differential_expression_effect,0.6703024014578206,4.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0
rap_plus_pathways,NUF2,inhibit,1.0,differential_expression_effect,0.6675860052084984,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,ISG15,activate,-1.0,differential_expression_effect,0.6665757308663266,2.0,3,Interferon Alpha Response;Interferon Alpha/Beta Signaling R-HSA-909733;Interferon Gamma Response,0.40940627470332364,0.5845744202311228,0.1751681455277992,-0.1751681455277992,-0.16612384344826236,-4.268107175271458e-09,0,0.0,1.0
rap_plus_pathways,FBXO17,inhibit,1.0,differential_expression_effect,0.6531246883732527,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,NCF2,activate,-1.0,differential_expression_effect,0.6524182021795357,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,KIF14,inhibit,1.0,differential_expression_effect,0.6503130591297537,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,ENC1,activate,-1.0,differential_expression_effect,0.6496829350893555,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,H4C8,activate,-1.0,differential_expression_effect,0.6461169056612761,2.0,0,,0.40940627470332364,0.29794086400062325,-0.11146541070270032,0.11146541070270032,0.11954609155741436,0.2176128850807605,79508,1.0,1.0
rap_plus_pathways,PLK1,inhibit,1.0,differential_expression_effect,0.6453224467779706,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.8775271125784174,0.4681208378750938,-0.4681208378750938,-0.45037797136875,-2.0699826266660488e-07,0,0.0,1.0
rap_plus_pathways,PBK,inhibit,1.0,differential_expression_effect,0.6421132486951168,2.0,1,G2-M Checkpoint,0.40940627470332364,0.9608689456231277,0.551462670919804,-0.551462670919804,-0.5473165015230472,-1.8524564814247214e-06,0,0.0,1.0
