rank,gene,priority_score,evidence_source_count,evidence_sources,escape_marker_effect,escape_marker_direction,trajectory_correlation,trajectory_direction,differential_expression_effect,de_direction,de_cell_lines_supported,regulatory_effect,transition_model_effect,transition_model_direction,signature_direction
51,CIT,0.5912465124873864,2,differential_expression;signature,,,,,1.70393393,higher_in_repop,2.0,,,,up
52,ESPL1,0.5859510440555412,2,differential_expression;signature,,,,,1.73990475,higher_in_repop,2.0,,,,up
53,BCYRN1,0.5851550209384139,2,differential_expression;signature,,,,,1.593899,higher_in_repop,2.0,,,,up
54,NRM,0.5809614634516467,2,differential_expression;signature,,,,,1.9771555,higher_in_repop,2.0,,,,up
55,KIF15,0.5804350266869417,2,differential_expression;signature,,,,,1.80824845,higher_in_repop,2.0,,,,up
56,KIF2C,0.5783021720300318,2,differential_expression;signature,,,,,1.6042381,higher_in_repop,2.0,,,,up
57,H2BC4,0.5745543510701387,2,differential_expression;signature,,,,,-2.1386352,lower_in_repop,2.0,,,,down
58,RIPPLY3,0.5712413185302311,2,differential_expression;signature,,,,,1.8562568499999998,higher_in_repop,2.0,,,,up
59,L1CAM,0.5691528047863307,2,differential_expression;signature,,,,,-2.2591231,lower_in_repop,2.0,,,,down
60,PLOD2,0.5683738604004264,2,differential_expression;signature,,,,,1.7177486499999999,higher_in_repop,2.0,,,,up
61,SPC24,0.5680799908465424,2,differential_expression;signature,,,,,1.6448909999999999,higher_in_repop,2.0,,,,up
62,IFIT1,0.5671961487019681,2,differential_expression;signature,,,,,-4.8608133,lower_in_repop,2.0,,,,down
63,TROAP,0.56534106116832,2,differential_expression;signature,,,,,1.642864915,higher_in_repop,2.0,,,,up
64,FOXM1,0.5611539821306443,2,differential_expression;signature,,,,,1.519883175,higher_in_repop,2.0,,,,up
65,TSPAN1,0.5589580419085125,2,differential_expression;signature,,,,,-3.04678275,lower_in_repop,2.0,,,,down
66,PTTG1,0.5586819313512521,3,escape_marker;differential_expression;signature,0.4509165585041046,higher_in_escape_prone,,,1.8806817,higher_in_repop,2.0,,,,up
67,ANKRD1,0.5567617296441645,2,differential_expression;signature,,,,,-6.20144845,lower_in_repop,2.0,,,,down
68,TUBA1B,0.5555834861871963,3,escape_marker;trajectory;differential_expression,0.5279414057731628,higher_in_escape_prone,0.4314121331796063,increasing,0.88781987,higher_in_repop,2.0,,,,
69,ANXA3,0.5555560861800694,2,differential_expression;signature,,,,,-2.8906378999999998,lower_in_repop,2.0,,,,down
70,SHISA2,0.5518566580849152,2,differential_expression;signature,,,,,-2.35183155,lower_in_repop,2.0,,,,down
71,EPAS1,0.5511808408181119,2,differential_expression;signature,,,,,-3.27757,lower_in_repop,2.0,,,,down
72,MT2A,0.5506622342738758,2,differential_expression;signature,,,,,1.72045255,higher_in_repop,2.0,,,,up
73,OAS1,0.5506432023326516,2,differential_expression;signature,,,,,-4.03806805,lower_in_repop,2.0,,,,down
74,KLK5,0.5506401701253014,2,differential_expression;signature,,,,,-6.14873175,lower_in_repop,2.0,,,,down
75,MAP1B,0.5494780420764981,2,differential_expression;signature,,,,,-3.0800256,lower_in_repop,2.0,,,,down
76,SAMD9,0.5467716218491541,2,differential_expression;signature,,,,,-3.7998672,lower_in_repop,2.0,,,,down
77,CAPN8,0.5453162492162116,2,differential_expression;signature,,,,,-4.86461615,lower_in_repop,2.0,,,,down
78,PIMREG,0.545269246805422,2,differential_expression;signature,,,,,1.5967915499999998,higher_in_repop,2.0,,,,up
79,PRSS23,0.5421277371675257,2,differential_expression;signature,,,,,-3.0954115,lower_in_repop,2.0,,,,down
80,SPC25,0.5393485517628133,2,differential_expression;signature,,,,,1.6952841,higher_in_repop,2.0,,,,up
